,Classifier,FeatureExtractor,acc,avgprec,classifierfamily,log_loss,precisionscore,recallscore
32,RandomForestClassifier_0,VGG16,0.610738255034,0.847707323449,RandomForestClassifier,1.11928252856,0.610738255034,0.610738255034
45,RandomForestClassifier_1,VGG16,0.608907870653,0.840091967484,RandomForestClassifier,1.12173210534,0.608907870653,0.608907870653
49,RandomForestClassifier_1,VGG16,0.603416717511,0.840881855736,RandomForestClassifier,1.12361614378,0.603416717511,0.603416717511
40,RandomForestClassifier_0,VGG16,0.607687614399,0.839401285355,RandomForestClassifier,1.12397861379,0.607687614399,0.607687614399
36,RandomForestClassifier_0,VGG16,0.613178767541,0.84848855656,RandomForestClassifier,1.12682453453,0.613178767541,0.613178767541
48,RandomForestClassifier_0,VGG16,0.605857230018,0.844641389291,RandomForestClassifier,1.13172432077,0.605857230018,0.605857230018
44,RandomForestClassifier_0,VGG16,0.598535692495,0.840781992804,RandomForestClassifier,1.13516959211,0.598535692495,0.598535692495
2,RandomForestClassifier_0,ResNet50,0.571079926785,0.837146378575,RandomForestClassifier,1.17514623488,0.571079926785,0.571079926785
3,RandomForestClassifier_1,ResNet50,0.576571079927,0.836935634762,RandomForestClassifier,1.18832969287,0.576571079927,0.576571079927
1,RandomForestClassifier_1,VGG16,0.58389261745,0.80742477067,RandomForestClassifier,1.19252460232,0.58389261745,0.58389261745
0,RandomForestClassifier_0,VGG16,0.583282489323,0.809967622819,RandomForestClassifier,1.20287140018,0.583282489323,0.583282489323
