,Classifier,FeatureExtractor,acc,avgprec,classifierfamily,log_loss,precisionscore,recallscore
845,RandomForestClassifier_1,InceptionV3,0.77768128528,0.774736255662,RandomForestClassifier,0.850051460822,0.77768128528,0.77768128528
210,LogisticRegression_1,VGG19,0.743812418584,0.765579847329,LogisticRegression,0.850085577686,0.743812418584,0.743812418584
818,LogisticRegression_1,ResNet50,0.716891011724,0.742647311334,LogisticRegression,0.851697509724,0.716891011724,0.716891011724
773,RandomForestClassifier_1,InceptionV3,0.775944420321,0.767175343694,RandomForestClassifier,0.851786047709,0.775944420321,0.775944420321
678,LogisticRegression_1,VGG19,0.740338688667,0.774980632752,LogisticRegression,0.852957039443,0.740338688667,0.740338688667
462,LogisticRegression_1,VGG19,0.742509769865,0.759945649263,LogisticRegression,0.854905130741,0.742509769865,0.742509769865
386,LogisticRegression_1,ResNet50,0.721233174121,0.739726940992,LogisticRegression,0.856365031066,0.721233174121,0.721233174121
133,LogisticRegression_0,ResNet50,0.690838037343,0.678996568987,LogisticRegression,0.857992855997,0.690838037343,0.690838037343
709,LogisticRegression_0,ResNet50,0.688232739904,0.67992563426,LogisticRegression,0.863052255896,0.688232739904,0.688232739904
606,LogisticRegression_1,VGG19,0.731654363873,0.754709157034,LogisticRegression,0.863978661539,0.731654363873,0.731654363873
745,LogisticRegression_0,ResNet50,0.696917064698,0.710162523043,LogisticRegression,0.8667406151,0.696917064698,0.696917064698
97,LogisticRegression_0,ResNet50,0.675640468954,0.692355078853,LogisticRegression,0.867816545613,0.675640468954,0.675640468954
889,LogisticRegression_0,ResNet50,0.684759009987,0.68929298543,LogisticRegression,0.868598335279,0.684759009987,0.684759009987
853,LogisticRegression_0,ResNet50,0.689969604863,0.695207066993,LogisticRegression,0.869975026221,0.689969604863,0.689969604863
169,LogisticRegression_0,ResNet50,0.691272253582,0.696448473799,LogisticRegression,0.873229683604,0.691272253582,0.691272253582
529,LogisticRegression_0,ResNet50,0.688232739904,0.680304977399,LogisticRegression,0.873382022326,0.688232739904,0.688232739904
205,LogisticRegression_0,ResNet50,0.689101172384,0.670004759503,LogisticRegression,0.881607067316,0.689101172384,0.689101172384
457,LogisticRegression_0,ResNet50,0.681285280069,0.676870367021,LogisticRegression,0.883523392958,0.681285280069,0.681285280069
493,LogisticRegression_0,ResNet50,0.689101172384,0.689327350343,LogisticRegression,0.884604690609,0.689101172384,0.689101172384
313,LogisticRegression_0,ResNet50,0.695180199739,0.689931539673,LogisticRegression,0.887253406271,0.695180199739,0.695180199739
565,LogisticRegression_0,ResNet50,0.688666956144,0.677116470856,LogisticRegression,0.889697992374,0.688666956144,0.688666956144
673,LogisticRegression_0,ResNet50,0.679548415111,0.655592828997,LogisticRegression,0.890394634953,0.679548415111,0.679548415111
421,LogisticRegression_0,ResNet50,0.678245766392,0.684622200398,LogisticRegression,0.891669499988,0.678245766392,0.678245766392
637,LogisticRegression_0,ResNet50,0.682587928789,0.667003573645,LogisticRegression,0.893027757991,0.682587928789,0.682587928789
349,LogisticRegression_0,ResNet50,0.6947459835,0.677076573885,LogisticRegression,0.900951186064,0.6947459835,0.6947459835
61,LogisticRegression_0,ResNet50,0.678679982631,0.654968391068,LogisticRegression,0.904591170292,0.678679982631,0.678679982631
277,LogisticRegression_0,ResNet50,0.687798523665,0.655404726502,LogisticRegression,0.906168107356,0.687798523665,0.687798523665
601,LogisticRegression_0,ResNet50,0.683890577508,0.666129771496,LogisticRegression,0.907727778607,0.683890577508,0.683890577508
781,LogisticRegression_0,ResNet50,0.676074685193,0.677354981347,LogisticRegression,0.908372233036,0.676074685193,0.676074685193
724,SVC_0,VGG16,0.691272253582,0.649497487643,SVC,0.916285326836,0.691272253582,0.691272253582
817,LogisticRegression_0,ResNet50,0.671732522796,0.668362959166,LogisticRegression,0.91942767984,0.671732522796,0.671732522796
544,SVC_0,VGG16,0.686495874946,0.639782441478,SVC,0.923035491315,0.686495874946,0.686495874946
76,SVC_0,VGG16,0.674772036474,0.650691679117,SVC,0.923036326432,0.674772036474,0.674772036474
385,LogisticRegression_0,ResNet50,0.677811550152,0.666491109598,LogisticRegression,0.924011958305,0.677811550152,0.677811550152
220,SVC_0,VGG16,0.68041684759,0.669498846206,SVC,0.925325757495,0.68041684759,0.68041684759
796,SVC_0,VGG16,0.683890577508,0.634806918409,SVC,0.926765753095,0.683890577508,0.683890577508
868,SVC_0,VGG16,0.67998263135,0.632651591078,SVC,0.927387812067,0.67998263135,0.67998263135
616,SVC_0,VGG16,0.675206252714,0.645035496497,SVC,0.929650780566,0.675206252714,0.675206252714
112,SVC_0,VGG16,0.677377333912,0.6292986647,SVC,0.930080951162,0.677377333912,0.677377333912
508,SVC_0,VGG16,0.683890577508,0.648931573661,SVC,0.931948544568,0.683890577508,0.683890577508
832,SVC_0,VGG16,0.683890577508,0.642732975532,SVC,0.935464489331,0.683890577508,0.683890577508
688,SVC_0,VGG16,0.676943117673,0.63852277732,SVC,0.936901129241,0.676943117673,0.676943117673
292,SVC_0,VGG16,0.676074685193,0.643458439455,SVC,0.936958564041,0.676074685193,0.676074685193
148,SVC_0,VGG16,0.668258792879,0.654809247535,SVC,0.938448743707,0.668258792879,0.668258792879
19,RandomForestClassifier_1,ResNet50,0.702996092054,0.748171619472,RandomForestClassifier,0.942933677799,0.702996092054,0.702996092054
652,SVC_0,VGG16,0.675640468954,0.625893056916,SVC,0.944106531204,0.675640468954,0.675640468954
18,RandomForestClassifier_0,ResNet50,0.698219713417,0.748897789902,RandomForestClassifier,0.944879083868,0.698219713417,0.698219713417
436,SVC_0,VGG16,0.68041684759,0.638120972556,SVC,0.945406320659,0.68041684759,0.68041684759
580,SVC_0,VGG16,0.670429874077,0.645813460849,SVC,0.945450158958,0.670429874077,0.670429874077
140,SVC_1,VGG19,0.655232305688,0.707217626769,SVC,0.946005874738,0.655232305688,0.655232305688
472,SVC_0,VGG16,0.670864090317,0.636837914525,SVC,0.946831928008,0.670864090317,0.670864090317
328,SVC_0,VGG16,0.673035171515,0.630746548535,SVC,0.95111548883,0.673035171515,0.673035171515
113,SVC_1,VGG16,0.648719062093,0.705839235561,SVC,0.951395064687,0.648719062093,0.648719062093
256,SVC_0,VGG16,0.667824576639,0.606306392356,SVC,0.952006533493,0.667824576639,0.667824576639
760,SVC_0,VGG16,0.673035171515,0.649672896784,SVC,0.952008000307,0.673035171515,0.673035171515
545,SVC_1,VGG16,0.644811115936,0.702903433218,SVC,0.952201153615,0.644811115936,0.644811115936
400,SVC_0,VGG16,0.66695614416,0.651509108676,SVC,0.952409963032,0.66695614416,0.66695614416
184,SVC_0,VGG16,0.674772036474,0.62054948298,SVC,0.952483736835,0.674772036474,0.674772036474
248,SVC_1,VGG19,0.649153278333,0.718714380428,SVC,0.954517584772,0.649153278333,0.649153278333
536,SVC_1,VGG19,0.660008684325,0.722843864745,SVC,0.955096169825,0.660008684325,0.660008684325
752,SVC_1,VGG19,0.650021710812,0.72098193632,SVC,0.955314339828,0.650021710812,0.650021710812
896,SVC_1,VGG19,0.656100738168,0.710888078634,SVC,0.956444618572,0.656100738168,0.656100738168
509,SVC_1,VGG16,0.640903169779,0.717755083228,SVC,0.956862473673,0.640903169779,0.640903169779
572,SVC_1,VGG19,0.65219279201,0.705505936052,SVC,0.95714782919,0.65219279201,0.65219279201
247,SVC_0,VGG19,0.670429874077,0.644771661597,SVC,0.957536632897,0.670429874077,0.670429874077
139,SVC_0,VGG19,0.678245766392,0.614063193384,SVC,0.957907571944,0.678245766392,0.678245766392
221,SVC_1,VGG16,0.63873208858,0.716791203985,SVC,0.959045913801,0.63873208858,0.63873208858
34,RandomForestClassifier_0,VGG19,0.692574902301,0.735926759673,RandomForestClassifier,0.959081144929,0.692574902301,0.692574902301
364,SVC_0,VGG16,0.673035171515,0.642197037475,SVC,0.959739943344,0.673035171515,0.673035171515
40,SVC_0,VGG16,0.661745549284,0.636453615749,SVC,0.960276946695,0.661745549284,0.661745549284
716,SVC_1,VGG19,0.647416413374,0.694595679485,SVC,0.961028681475,0.647416413374,0.647416413374
293,SVC_1,VGG16,0.633955709944,0.709276652075,SVC,0.961678182708,0.633955709944,0.633955709944
617,SVC_1,VGG16,0.628310898828,0.719394068467,SVC,0.961979388339,0.628310898828,0.628310898828
437,SVC_1,VGG16,0.632653061224,0.700551660267,SVC,0.963290778021,0.632653061224,0.632653061224
725,SVC_1,VGG16,0.634389926183,0.70294828601,SVC,0.964139579188,0.634389926183,0.634389926183
185,SVC_1,VGG16,0.640034737299,0.694444438378,SVC,0.964187284647,0.640034737299,0.640034737299
869,SVC_1,VGG16,0.635692574902,0.704926825488,SVC,0.964227592194,0.635692574902,0.635692574902
797,SVC_1,VGG16,0.631784628745,0.687475496193,SVC,0.965811489522,0.631784628745,0.631784628745
